hero1,hero2,Friendship
HAWK,WASP/JANET VAN DYNE ,82
HAWK,GALACTUS/GALAN,17
HAWK,MOCKINGBIRD/DR. BARB,67
HAWK,SILVER SURFER/NORRIN,64
SILVER SURFER/NORRIN,WASP/JANET VAN DYNE ,53
SILVER SURFER/NORRIN,GALACTUS/GALAN,41
SILVER SURFER/NORRIN,MOCKINGBIRD/DR. BARB,73
MOCKINGBIRD/DR. BARB,WASP/JANET VAN DYNE ,34
MOCKINGBIRD/DR. BARB,GALACTUS/GALAN,27
GALACTUS/GALAN,WASP/JANET VAN DYNE ,38
UATU,CAPTAIN AMERICA,14
UATU,THUNDERSTRIKE/ERIC K,78
UATU,NOVA/RICHARD RIDER,72
UATU,GALACTUS/GALAN,31
UATU,WONDER MAN/SIMON WIL,51
UATU,DEATHLOK III/MICHAEL,74
UATU,OBLIVION,48
UATU,WOLVERINE/LOGAN ,1
UATU,SHE-HULK/JENNIFER WA,93
UATU,SILVER SURFER/NORRIN,68
UATU,VISION ,3
UATU,PSYLOCKE/ELISABETH B,26
UATU,MARVEL GIRL/JEAN GRE,47
UATU,STORM/ORORO MUNROE S,4
UATU,ETERNITY/ADAM QADMON,62
UATU,KISMET/J'RIDIA STARD,9
UATU,NIGHT THRASHER/DUANE,44
UATU,IN-BETWEENER,6
UATU,MR. FANTASTIC/REED R,84
UATU,ANGEL/WARREN KENNETH,90
UATU,DEATH,64
UATU,MASTER ORDER,82
UATU,IRON MAN/TONY STARK ,78
UATU,BLACK PANTHER/T'CHAL,82
UATU,SCARLET WITCH/WANDA ,85
UATU,JUBILEE/JUBILATION L,20
UATU,THING/BENJAMIN J. GR,66
UATU,INVISIBLE WOMAN/SUE ,61
UATU,LORD CHAOS,94
UATU,INFINITY II,37
UATU,PUNISHER II/FRANK CA,3
UATU,HULK/DR. ROBERT BRUC,76
UATU,ANDROMEDA/ANDROMEDA ,71
UATU,BEAST/HENRY &HANK& P,42
UATU,GHOST RIDER III/DAN ,82
UATU,CYCLOPS/SCOTT SUMMER,65
UATU,SPEEDBALL/ROBBIE BAL,10
SPEEDBALL/ROBBIE BAL,CAPTAIN AMERICA,45
SPEEDBALL/ROBBIE BAL,THUNDERSTRIKE/ERIC K,82
SPEEDBALL/ROBBIE BAL,NOVA/RICHARD RIDER,66
SPEEDBALL/ROBBIE BAL,GALACTUS/GALAN,98
SPEEDBALL/ROBBIE BAL,WONDER MAN/SIMON WIL,10
SPEEDBALL/ROBBIE BAL,DEATHLOK III/MICHAEL,17
SPEEDBALL/ROBBIE BAL,OBLIVION,95
SPEEDBALL/ROBBIE BAL,WOLVERINE/LOGAN ,38
SPEEDBALL/ROBBIE BAL,SHE-HULK/JENNIFER WA,50
SPEEDBALL/ROBBIE BAL,SILVER SURFER/NORRIN,99
SPEEDBALL/ROBBIE BAL,VISION ,7
SPEEDBALL/ROBBIE BAL,PSYLOCKE/ELISABETH B,79
SPEEDBALL/ROBBIE BAL,MARVEL GIRL/JEAN GRE,7
SPEEDBALL/ROBBIE BAL,STORM/ORORO MUNROE S,47
SPEEDBALL/ROBBIE BAL,ETERNITY/ADAM QADMON,3
SPEEDBALL/ROBBIE BAL,KISMET/J'RIDIA STARD,58
SPEEDBALL/ROBBIE BAL,NIGHT THRASHER/DUANE,15
SPEEDBALL/ROBBIE BAL,IN-BETWEENER,94
SPEEDBALL/ROBBIE BAL,MR. FANTASTIC/REED R,45
SPEEDBALL/ROBBIE BAL,ANGEL/WARREN KENNETH,70
SPEEDBALL/ROBBIE BAL,DEATH,28
SPEEDBALL/ROBBIE BAL,MASTER ORDER,10
SPEEDBALL/ROBBIE BAL,IRON MAN/TONY STARK ,55
SPEEDBALL/ROBBIE BAL,BLACK PANTHER/T'CHAL,19
SPEEDBALL/ROBBIE BAL,SCARLET WITCH/WANDA ,22
SPEEDBALL/ROBBIE BAL,JUBILEE/JUBILATION L,78
SPEEDBALL/ROBBIE BAL,THING/BENJAMIN J. GR,13
SPEEDBALL/ROBBIE BAL,INVISIBLE WOMAN/SUE ,20
SPEEDBALL/ROBBIE BAL,LORD CHAOS,20
SPEEDBALL/ROBBIE BAL,INFINITY II,96
SPEEDBALL/ROBBIE BAL,PUNISHER II/FRANK CA,37
SPEEDBALL/ROBBIE BAL,HULK/DR. ROBERT BRUC,61
SPEEDBALL/ROBBIE BAL,ANDROMEDA/ANDROMEDA ,59
SPEEDBALL/ROBBIE BAL,BEAST/HENRY &HANK& P,61
SPEEDBALL/ROBBIE BAL,GHOST RIDER III/DAN ,49
SPEEDBALL/ROBBIE BAL,CYCLOPS/SCOTT SUMMER,69
CYCLOPS/SCOTT SUMMER,CAPTAIN AMERICA,35
CYCLOPS/SCOTT SUMMER,THUNDERSTRIKE/ERIC K,87
CYCLOPS/SCOTT SUMMER,NOVA/RICHARD RIDER,23
CYCLOPS/SCOTT SUMMER,GALACTUS/GALAN,67
CYCLOPS/SCOTT SUMMER,WONDER MAN/SIMON WIL,64
CYCLOPS/SCOTT SUMMER,DEATHLOK III/MICHAEL,15
CYCLOPS/SCOTT SUMMER,OBLIVION,21
CYCLOPS/SCOTT SUMMER,WOLVERINE/LOGAN ,26
CYCLOPS/SCOTT SUMMER,SHE-HULK/JENNIFER WA,86
CYCLOPS/SCOTT SUMMER,SILVER SURFER/NORRIN,82
CYCLOPS/SCOTT SUMMER,VISION ,34
CYCLOPS/SCOTT SUMMER,PSYLOCKE/ELISABETH B,7
CYCLOPS/SCOTT SUMMER,MARVEL GIRL/JEAN GRE,8
CYCLOPS/SCOTT SUMMER,STORM/ORORO MUNROE S,23
CYCLOPS/SCOTT SUMMER,ETERNITY/ADAM QADMON,41
CYCLOPS/SCOTT SUMMER,KISMET/J'RIDIA STARD,85
CYCLOPS/SCOTT SUMMER,NIGHT THRASHER/DUANE,92
CYCLOPS/SCOTT SUMMER,IN-BETWEENER,78
CYCLOPS/SCOTT SUMMER,MR. FANTASTIC/REED R,61
CYCLOPS/SCOTT SUMMER,ANGEL/WARREN KENNETH,34
CYCLOPS/SCOTT SUMMER,DEATH,49
CYCLOPS/SCOTT SUMMER,MASTER ORDER,20
CYCLOPS/SCOTT SUMMER,IRON MAN/TONY STARK ,11
CYCLOPS/SCOTT SUMMER,BLACK PANTHER/T'CHAL,83
CYCLOPS/SCOTT SUMMER,SCARLET WITCH/WANDA ,65
CYCLOPS/SCOTT SUMMER,JUBILEE/JUBILATION L,8
CYCLOPS/SCOTT SUMMER,THING/BENJAMIN J. GR,18
CYCLOPS/SCOTT SUMMER,INVISIBLE WOMAN/SUE ,42
CYCLOPS/SCOTT SUMMER,LORD CHAOS,80
CYCLOPS/SCOTT SUMMER,INFINITY II,5
CYCLOPS/SCOTT SUMMER,PUNISHER II/FRANK CA,14
CYCLOPS/SCOTT SUMMER,HULK/DR. ROBERT BRUC,95
CYCLOPS/SCOTT SUMMER,ANDROMEDA/ANDROMEDA ,73
CYCLOPS/SCOTT SUMMER,BEAST/HENRY &HANK& P,41
CYCLOPS/SCOTT SUMMER,GHOST RIDER III/DAN ,49
GHOST RIDER III/DAN ,CAPTAIN AMERICA,15
GHOST RIDER III/DAN ,THUNDERSTRIKE/ERIC K,53
GHOST RIDER III/DAN ,NOVA/RICHARD RIDER,71
GHOST RIDER III/DAN ,GALACTUS/GALAN,74
GHOST RIDER III/DAN ,WONDER MAN/SIMON WIL,13
GHOST RIDER III/DAN ,DEATHLOK III/MICHAEL,60
GHOST RIDER III/DAN ,OBLIVION,6
GHOST RIDER III/DAN ,WOLVERINE/LOGAN ,25
GHOST RIDER III/DAN ,SHE-HULK/JENNIFER WA,6
GHOST RIDER III/DAN ,SILVER SURFER/NORRIN,54
GHOST RIDER III/DAN ,VISION ,7
GHOST RIDER III/DAN ,PSYLOCKE/ELISABETH B,19
GHOST RIDER III/DAN ,MARVEL GIRL/JEAN GRE,74
GHOST RIDER III/DAN ,STORM/ORORO MUNROE S,43
GHOST RIDER III/DAN ,ETERNITY/ADAM QADMON,93
GHOST RIDER III/DAN ,KISMET/J'RIDIA STARD,74
GHOST RIDER III/DAN ,NIGHT THRASHER/DUANE,26
GHOST RIDER III/DAN ,IN-BETWEENER,62
GHOST RIDER III/DAN ,MR. FANTASTIC/REED R,50
GHOST RIDER III/DAN ,ANGEL/WARREN KENNETH,37
GHOST RIDER III/DAN ,DEATH,14
GHOST RIDER III/DAN ,MASTER ORDER,86
GHOST RIDER III/DAN ,IRON MAN/TONY STARK ,36
GHOST RIDER III/DAN ,BLACK PANTHER/T'CHAL,50
GHOST RIDER III/DAN ,SCARLET WITCH/WANDA ,53
GHOST RIDER III/DAN ,JUBILEE/JUBILATION L,21
GHOST RIDER III/DAN ,THING/BENJAMIN J. GR,2
GHOST RIDER III/DAN ,INVISIBLE WOMAN/SUE ,1
GHOST RIDER III/DAN ,LORD CHAOS,79
GHOST RIDER III/DAN ,INFINITY II,33
GHOST RIDER III/DAN ,PUNISHER II/FRANK CA,90
GHOST RIDER III/DAN ,HULK/DR. ROBERT BRUC,32
GHOST RIDER III/DAN ,ANDROMEDA/ANDROMEDA ,68
GHOST RIDER III/DAN ,BEAST/HENRY &HANK& P,90
BEAST/HENRY &HANK& P,CAPTAIN AMERICA,33
BEAST/HENRY &HANK& P,THUNDERSTRIKE/ERIC K,11
BEAST/HENRY &HANK& P,NOVA/RICHARD RIDER,11
BEAST/HENRY &HANK& P,GALACTUS/GALAN,60
BEAST/HENRY &HANK& P,WONDER MAN/SIMON WIL,49
BEAST/HENRY &HANK& P,DEATHLOK III/MICHAEL,8
BEAST/HENRY &HANK& P,OBLIVION,86
BEAST/HENRY &HANK& P,WOLVERINE/LOGAN ,80
BEAST/HENRY &HANK& P,SHE-HULK/JENNIFER WA,32
BEAST/HENRY &HANK& P,SILVER SURFER/NORRIN,71
BEAST/HENRY &HANK& P,VISION ,83
BEAST/HENRY &HANK& P,PSYLOCKE/ELISABETH B,58
BEAST/HENRY &HANK& P,MARVEL GIRL/JEAN GRE,81
BEAST/HENRY &HANK& P,STORM/ORORO MUNROE S,80
BEAST/HENRY &HANK& P,ETERNITY/ADAM QADMON,45
BEAST/HENRY &HANK& P,KISMET/J'RIDIA STARD,62
BEAST/HENRY &HANK& P,NIGHT THRASHER/DUANE,90
BEAST/HENRY &HANK& P,IN-BETWEENER,3
BEAST/HENRY &HANK& P,MR. FANTASTIC/REED R,72
BEAST/HENRY &HANK& P,ANGEL/WARREN KENNETH,71
BEAST/HENRY &HANK& P,DEATH,61
BEAST/HENRY &HANK& P,MASTER ORDER,94
BEAST/HENRY &HANK& P,IRON MAN/TONY STARK ,63
BEAST/HENRY &HANK& P,BLACK PANTHER/T'CHAL,21
BEAST/HENRY &HANK& P,SCARLET WITCH/WANDA ,18
BEAST/HENRY &HANK& P,JUBILEE/JUBILATION L,71
BEAST/HENRY &HANK& P,THING/BENJAMIN J. GR,76
BEAST/HENRY &HANK& P,INVISIBLE WOMAN/SUE ,45
BEAST/HENRY &HANK& P,LORD CHAOS,24
BEAST/HENRY &HANK& P,INFINITY II,99
BEAST/HENRY &HANK& P,PUNISHER II/FRANK CA,79
BEAST/HENRY &HANK& P,HULK/DR. ROBERT BRUC,3
BEAST/HENRY &HANK& P,ANDROMEDA/ANDROMEDA ,29
ANDROMEDA/ANDROMEDA ,CAPTAIN AMERICA,51
ANDROMEDA/ANDROMEDA ,THUNDERSTRIKE/ERIC K,22
ANDROMEDA/ANDROMEDA ,NOVA/RICHARD RIDER,69
ANDROMEDA/ANDROMEDA ,GALACTUS/GALAN,1
ANDROMEDA/ANDROMEDA ,WONDER MAN/SIMON WIL,62
ANDROMEDA/ANDROMEDA ,DEATHLOK III/MICHAEL,34
ANDROMEDA/ANDROMEDA ,OBLIVION,43
ANDROMEDA/ANDROMEDA ,WOLVERINE/LOGAN ,53
ANDROMEDA/ANDROMEDA ,SHE-HULK/JENNIFER WA,91
ANDROMEDA/ANDROMEDA ,SILVER SURFER/NORRIN,14
ANDROMEDA/ANDROMEDA ,VISION ,5
ANDROMEDA/ANDROMEDA ,PSYLOCKE/ELISABETH B,73
ANDROMEDA/ANDROMEDA ,MARVEL GIRL/JEAN GRE,14
ANDROMEDA/ANDROMEDA ,STORM/ORORO MUNROE S,70
ANDROMEDA/ANDROMEDA ,ETERNITY/ADAM QADMON,3
ANDROMEDA/ANDROMEDA ,KISMET/J'RIDIA STARD,48
ANDROMEDA/ANDROMEDA ,NIGHT THRASHER/DUANE,28
ANDROMEDA/ANDROMEDA ,IN-BETWEENER,30
ANDROMEDA/ANDROMEDA ,MR. FANTASTIC/REED R,38
ANDROMEDA/ANDROMEDA ,ANGEL/WARREN KENNETH,73
ANDROMEDA/ANDROMEDA ,DEATH,94
ANDROMEDA/ANDROMEDA ,MASTER ORDER,40
ANDROMEDA/ANDROMEDA ,IRON MAN/TONY STARK ,58
ANDROMEDA/ANDROMEDA ,BLACK PANTHER/T'CHAL,30
ANDROMEDA/ANDROMEDA ,SCARLET WITCH/WANDA ,72
ANDROMEDA/ANDROMEDA ,JUBILEE/JUBILATION L,50
ANDROMEDA/ANDROMEDA ,THING/BENJAMIN J. GR,9
ANDROMEDA/ANDROMEDA ,INVISIBLE WOMAN/SUE ,22
ANDROMEDA/ANDROMEDA ,LORD CHAOS,17
ANDROMEDA/ANDROMEDA ,INFINITY II,58
ANDROMEDA/ANDROMEDA ,PUNISHER II/FRANK CA,82
ANDROMEDA/ANDROMEDA ,HULK/DR. ROBERT BRUC,43
HULK/DR. ROBERT BRUC,CAPTAIN AMERICA,62
HULK/DR. ROBERT BRUC,THUNDERSTRIKE/ERIC K,96
HULK/DR. ROBERT BRUC,NOVA/RICHARD RIDER,88
HULK/DR. ROBERT BRUC,GALACTUS/GALAN,78
HULK/DR. ROBERT BRUC,WONDER MAN/SIMON WIL,93
HULK/DR. ROBERT BRUC,DEATHLOK III/MICHAEL,41
HULK/DR. ROBERT BRUC,OBLIVION,45
HULK/DR. ROBERT BRUC,WOLVERINE/LOGAN ,36
HULK/DR. ROBERT BRUC,SHE-HULK/JENNIFER WA,57
HULK/DR. ROBERT BRUC,SILVER SURFER/NORRIN,95
HULK/DR. ROBERT BRUC,VISION ,14
HULK/DR. ROBERT BRUC,PSYLOCKE/ELISABETH B,29
HULK/DR. ROBERT BRUC,MARVEL GIRL/JEAN GRE,50
HULK/DR. ROBERT BRUC,STORM/ORORO MUNROE S,21
HULK/DR. ROBERT BRUC,ETERNITY/ADAM QADMON,23
HULK/DR. ROBERT BRUC,KISMET/J'RIDIA STARD,15
HULK/DR. ROBERT BRUC,NIGHT THRASHER/DUANE,28
HULK/DR. ROBERT BRUC,IN-BETWEENER,3
HULK/DR. ROBERT BRUC,MR. FANTASTIC/REED R,20
HULK/DR. ROBERT BRUC,ANGEL/WARREN KENNETH,61
HULK/DR. ROBERT BRUC,DEATH,66
HULK/DR. ROBERT BRUC,MASTER ORDER,13
HULK/DR. ROBERT BRUC,IRON MAN/TONY STARK ,73
HULK/DR. ROBERT BRUC,BLACK PANTHER/T'CHAL,87
HULK/DR. ROBERT BRUC,SCARLET WITCH/WANDA ,38
HULK/DR. ROBERT BRUC,JUBILEE/JUBILATION L,67
HULK/DR. ROBERT BRUC,THING/BENJAMIN J. GR,86
HULK/DR. ROBERT BRUC,INVISIBLE WOMAN/SUE ,88
HULK/DR. ROBERT BRUC,LORD CHAOS,93
HULK/DR. ROBERT BRUC,INFINITY II,86
HULK/DR. ROBERT BRUC,PUNISHER II/FRANK CA,21
PUNISHER II/FRANK CA,CAPTAIN AMERICA,31
PUNISHER II/FRANK CA,THUNDERSTRIKE/ERIC K,59
PUNISHER II/FRANK CA,NOVA/RICHARD RIDER,77
PUNISHER II/FRANK CA,GALACTUS/GALAN,26
PUNISHER II/FRANK CA,WONDER MAN/SIMON WIL,16
PUNISHER II/FRANK CA,DEATHLOK III/MICHAEL,34
PUNISHER II/FRANK CA,OBLIVION,69
PUNISHER II/FRANK CA,WOLVERINE/LOGAN ,80
PUNISHER II/FRANK CA,SHE-HULK/JENNIFER WA,34
PUNISHER II/FRANK CA,SILVER SURFER/NORRIN,40
PUNISHER II/FRANK CA,VISION ,77
PUNISHER II/FRANK CA,PSYLOCKE/ELISABETH B,78
PUNISHER II/FRANK CA,MARVEL GIRL/JEAN GRE,88
PUNISHER II/FRANK CA,STORM/ORORO MUNROE S,9
PUNISHER II/FRANK CA,ETERNITY/ADAM QADMON,76
PUNISHER II/FRANK CA,KISMET/J'RIDIA STARD,88
PUNISHER II/FRANK CA,NIGHT THRASHER/DUANE,96
PUNISHER II/FRANK CA,IN-BETWEENER,25
PUNISHER II/FRANK CA,MR. FANTASTIC/REED R,5
PUNISHER II/FRANK CA,ANGEL/WARREN KENNETH,57
PUNISHER II/FRANK CA,DEATH,15
PUNISHER II/FRANK CA,MASTER ORDER,20
PUNISHER II/FRANK CA,IRON MAN/TONY STARK ,51
PUNISHER II/FRANK CA,BLACK PANTHER/T'CHAL,27
PUNISHER II/FRANK CA,SCARLET WITCH/WANDA ,97
PUNISHER II/FRANK CA,JUBILEE/JUBILATION L,7
PUNISHER II/FRANK CA,THING/BENJAMIN J. GR,97
PUNISHER II/FRANK CA,INVISIBLE WOMAN/SUE ,4
PUNISHER II/FRANK CA,LORD CHAOS,14
PUNISHER II/FRANK CA,INFINITY II,95
INFINITY II,CAPTAIN AMERICA,56
INFINITY II,THUNDERSTRIKE/ERIC K,76
INFINITY II,NOVA/RICHARD RIDER,63
INFINITY II,GALACTUS/GALAN,33
INFINITY II,WONDER MAN/SIMON WIL,68
INFINITY II,DEATHLOK III/MICHAEL,17
INFINITY II,OBLIVION,92
INFINITY II,WOLVERINE/LOGAN ,77
INFINITY II,SHE-HULK/JENNIFER WA,48
INFINITY II,SILVER SURFER/NORRIN,98
INFINITY II,VISION ,84
INFINITY II,PSYLOCKE/ELISABETH B,30
INFINITY II,MARVEL GIRL/JEAN GRE,61
INFINITY II,STORM/ORORO MUNROE S,68
INFINITY II,ETERNITY/ADAM QADMON,43
INFINITY II,KISMET/J'RIDIA STARD,92
INFINITY II,NIGHT THRASHER/DUANE,30
INFINITY II,IN-BETWEENER,65
INFINITY II,MR. FANTASTIC/REED R,65
INFINITY II,ANGEL/WARREN KENNETH,93
INFINITY II,DEATH,26
INFINITY II,MASTER ORDER,33
INFINITY II,IRON MAN/TONY STARK ,58
INFINITY II,BLACK PANTHER/T'CHAL,94
INFINITY II,SCARLET WITCH/WANDA ,76
INFINITY II,JUBILEE/JUBILATION L,83
INFINITY II,THING/BENJAMIN J. GR,30
INFINITY II,INVISIBLE WOMAN/SUE ,65
INFINITY II,LORD CHAOS,58
LORD CHAOS,CAPTAIN AMERICA,90
LORD CHAOS,THUNDERSTRIKE/ERIC K,71
LORD CHAOS,NOVA/RICHARD RIDER,99
LORD CHAOS,GALACTUS/GALAN,34
LORD CHAOS,WONDER MAN/SIMON WIL,55
LORD CHAOS,DEATHLOK III/MICHAEL,86
LORD CHAOS,OBLIVION,4
LORD CHAOS,WOLVERINE/LOGAN ,23
LORD CHAOS,SHE-HULK/JENNIFER WA,55
LORD CHAOS,SILVER SURFER/NORRIN,67
LORD CHAOS,VISION ,29
LORD CHAOS,PSYLOCKE/ELISABETH B,95
LORD CHAOS,MARVEL GIRL/JEAN GRE,1
LORD CHAOS,STORM/ORORO MUNROE S,25
LORD CHAOS,ETERNITY/ADAM QADMON,100
LORD CHAOS,KISMET/J'RIDIA STARD,47
LORD CHAOS,NIGHT THRASHER/DUANE,82
LORD CHAOS,IN-BETWEENER,43
LORD CHAOS,MR. FANTASTIC/REED R,43
LORD CHAOS,ANGEL/WARREN KENNETH,70
LORD CHAOS,DEATH,29
LORD CHAOS,MASTER ORDER,41
LORD CHAOS,IRON MAN/TONY STARK ,13
LORD CHAOS,BLACK PANTHER/T'CHAL,38
LORD CHAOS,SCARLET WITCH/WANDA ,23
LORD CHAOS,JUBILEE/JUBILATION L,5
LORD CHAOS,THING/BENJAMIN J. GR,29
LORD CHAOS,INVISIBLE WOMAN/SUE ,88
INVISIBLE WOMAN/SUE ,CAPTAIN AMERICA,11
INVISIBLE WOMAN/SUE ,THUNDERSTRIKE/ERIC K,58
INVISIBLE WOMAN/SUE ,NOVA/RICHARD RIDER,16
INVISIBLE WOMAN/SUE ,GALACTUS/GALAN,72
INVISIBLE WOMAN/SUE ,WONDER MAN/SIMON WIL,30
INVISIBLE WOMAN/SUE ,DEATHLOK III/MICHAEL,16
INVISIBLE WOMAN/SUE ,OBLIVION,63
INVISIBLE WOMAN/SUE ,WOLVERINE/LOGAN ,49
INVISIBLE WOMAN/SUE ,SHE-HULK/JENNIFER WA,26
INVISIBLE WOMAN/SUE ,SILVER SURFER/NORRIN,15
INVISIBLE WOMAN/SUE ,VISION ,89
INVISIBLE WOMAN/SUE ,PSYLOCKE/ELISABETH B,64
INVISIBLE WOMAN/SUE ,MARVEL GIRL/JEAN GRE,65
INVISIBLE WOMAN/SUE ,STORM/ORORO MUNROE S,51
INVISIBLE WOMAN/SUE ,ETERNITY/ADAM QADMON,84
INVISIBLE WOMAN/SUE ,KISMET/J'RIDIA STARD,64
INVISIBLE WOMAN/SUE ,NIGHT THRASHER/DUANE,60
INVISIBLE WOMAN/SUE ,IN-BETWEENER,51
INVISIBLE WOMAN/SUE ,MR. FANTASTIC/REED R,87
INVISIBLE WOMAN/SUE ,ANGEL/WARREN KENNETH,2
INVISIBLE WOMAN/SUE ,DEATH,17
INVISIBLE WOMAN/SUE ,MASTER ORDER,16
INVISIBLE WOMAN/SUE ,IRON MAN/TONY STARK ,35
INVISIBLE WOMAN/SUE ,BLACK PANTHER/T'CHAL,72
INVISIBLE WOMAN/SUE ,SCARLET WITCH/WANDA ,78
INVISIBLE WOMAN/SUE ,JUBILEE/JUBILATION L,91
INVISIBLE WOMAN/SUE ,THING/BENJAMIN J. GR,68
THING/BENJAMIN J. GR,CAPTAIN AMERICA,26
THING/BENJAMIN J. GR,THUNDERSTRIKE/ERIC K,70
THING/BENJAMIN J. GR,NOVA/RICHARD RIDER,39
THING/BENJAMIN J. GR,GALACTUS/GALAN,54
THING/BENJAMIN J. GR,WONDER MAN/SIMON WIL,33
THING/BENJAMIN J. GR,DEATHLOK III/MICHAEL,18
THING/BENJAMIN J. GR,OBLIVION,13
THING/BENJAMIN J. GR,WOLVERINE/LOGAN ,79
THING/BENJAMIN J. GR,SHE-HULK/JENNIFER WA,56
THING/BENJAMIN J. GR,SILVER SURFER/NORRIN,56
THING/BENJAMIN J. GR,VISION ,35
THING/BENJAMIN J. GR,PSYLOCKE/ELISABETH B,25
THING/BENJAMIN J. GR,MARVEL GIRL/JEAN GRE,10
THING/BENJAMIN J. GR,STORM/ORORO MUNROE S,58
THING/BENJAMIN J. GR,ETERNITY/ADAM QADMON,50
THING/BENJAMIN J. GR,KISMET/J'RIDIA STARD,13
THING/BENJAMIN J. GR,NIGHT THRASHER/DUANE,25
THING/BENJAMIN J. GR,IN-BETWEENER,87
THING/BENJAMIN J. GR,MR. FANTASTIC/REED R,3
THING/BENJAMIN J. GR,ANGEL/WARREN KENNETH,35
THING/BENJAMIN J. GR,DEATH,9
THING/BENJAMIN J. GR,MASTER ORDER,57
THING/BENJAMIN J. GR,IRON MAN/TONY STARK ,77
THING/BENJAMIN J. GR,BLACK PANTHER/T'CHAL,93
THING/BENJAMIN J. GR,SCARLET WITCH/WANDA ,66
THING/BENJAMIN J. GR,JUBILEE/JUBILATION L,64
JUBILEE/JUBILATION L,CAPTAIN AMERICA,20
JUBILEE/JUBILATION L,THUNDERSTRIKE/ERIC K,77
JUBILEE/JUBILATION L,NOVA/RICHARD RIDER,35
JUBILEE/JUBILATION L,GALACTUS/GALAN,90
JUBILEE/JUBILATION L,WONDER MAN/SIMON WIL,58
JUBILEE/JUBILATION L,DEATHLOK III/MICHAEL,52
JUBILEE/JUBILATION L,OBLIVION,38
JUBILEE/JUBILATION L,WOLVERINE/LOGAN ,92
JUBILEE/JUBILATION L,SHE-HULK/JENNIFER WA,23
JUBILEE/JUBILATION L,SILVER SURFER/NORRIN,4
JUBILEE/JUBILATION L,VISION ,77
JUBILEE/JUBILATION L,PSYLOCKE/ELISABETH B,6
JUBILEE/JUBILATION L,MARVEL GIRL/JEAN GRE,68
JUBILEE/JUBILATION L,STORM/ORORO MUNROE S,1
JUBILEE/JUBILATION L,ETERNITY/ADAM QADMON,25
JUBILEE/JUBILATION L,KISMET/J'RIDIA STARD,48
JUBILEE/JUBILATION L,NIGHT THRASHER/DUANE,2
JUBILEE/JUBILATION L,IN-BETWEENER,26
JUBILEE/JUBILATION L,MR. FANTASTIC/REED R,41
JUBILEE/JUBILATION L,ANGEL/WARREN KENNETH,80
JUBILEE/JUBILATION L,DEATH,18
JUBILEE/JUBILATION L,MASTER ORDER,25
JUBILEE/JUBILATION L,IRON MAN/TONY STARK ,19
JUBILEE/JUBILATION L,BLACK PANTHER/T'CHAL,95
JUBILEE/JUBILATION L,SCARLET WITCH/WANDA ,47
SCARLET WITCH/WANDA ,CAPTAIN AMERICA,97
SCARLET WITCH/WANDA ,THUNDERSTRIKE/ERIC K,86
SCARLET WITCH/WANDA ,NOVA/RICHARD RIDER,56
SCARLET WITCH/WANDA ,GALACTUS/GALAN,40
SCARLET WITCH/WANDA ,WONDER MAN/SIMON WIL,26
SCARLET WITCH/WANDA ,DEATHLOK III/MICHAEL,69
SCARLET WITCH/WANDA ,OBLIVION,29
SCARLET WITCH/WANDA ,WOLVERINE/LOGAN ,18
SCARLET WITCH/WANDA ,SHE-HULK/JENNIFER WA,52
SCARLET WITCH/WANDA ,SILVER SURFER/NORRIN,25
SCARLET WITCH/WANDA ,VISION ,94
SCARLET WITCH/WANDA ,PSYLOCKE/ELISABETH B,17
SCARLET WITCH/WANDA ,MARVEL GIRL/JEAN GRE,10
SCARLET WITCH/WANDA ,STORM/ORORO MUNROE S,73
SCARLET WITCH/WANDA ,ETERNITY/ADAM QADMON,5
SCARLET WITCH/WANDA ,KISMET/J'RIDIA STARD,27
SCARLET WITCH/WANDA ,NIGHT THRASHER/DUANE,65
SCARLET WITCH/WANDA ,IN-BETWEENER,18
SCARLET WITCH/WANDA ,MR. FANTASTIC/REED R,47
SCARLET WITCH/WANDA ,ANGEL/WARREN KENNETH,53
SCARLET WITCH/WANDA ,DEATH,12
SCARLET WITCH/WANDA ,MASTER ORDER,38
SCARLET WITCH/WANDA ,IRON MAN/TONY STARK ,75
SCARLET WITCH/WANDA ,BLACK PANTHER/T'CHAL,68
BLACK PANTHER/T'CHAL,CAPTAIN AMERICA,56
BLACK PANTHER/T'CHAL,THUNDERSTRIKE/ERIC K,49
BLACK PANTHER/T'CHAL,NOVA/RICHARD RIDER,68
BLACK PANTHER/T'CHAL,GALACTUS/GALAN,35
BLACK PANTHER/T'CHAL,WONDER MAN/SIMON WIL,58
BLACK PANTHER/T'CHAL,DEATHLOK III/MICHAEL,29
BLACK PANTHER/T'CHAL,OBLIVION,36
BLACK PANTHER/T'CHAL,WOLVERINE/LOGAN ,16
BLACK PANTHER/T'CHAL,SHE-HULK/JENNIFER WA,66
BLACK PANTHER/T'CHAL,SILVER SURFER/NORRIN,70
BLACK PANTHER/T'CHAL,VISION ,93
BLACK PANTHER/T'CHAL,PSYLOCKE/ELISABETH B,20
BLACK PANTHER/T'CHAL,MARVEL GIRL/JEAN GRE,49
BLACK PANTHER/T'CHAL,STORM/ORORO MUNROE S,84
BLACK PANTHER/T'CHAL,ETERNITY/ADAM QADMON,80
BLACK PANTHER/T'CHAL,KISMET/J'RIDIA STARD,76
BLACK PANTHER/T'CHAL,NIGHT THRASHER/DUANE,76
BLACK PANTHER/T'CHAL,IN-BETWEENER,61
